,Account_date
219,2018-08-09
220,2018-08-10
221,2018-08-11
222,2018-08-12
223,2018-08-13
224,2018-08-14
225,2018-08-15
226,2018-08-16
227,2018-08-17
228,2018-08-18
229,2018-08-19
230,2018-08-20
231,2018-08-21
232,2018-08-22
233,2018-08-23
234,2018-08-24
235,2018-08-25
236,2018-08-26
237,2018-08-27
238,2018-08-28
239,2018-08-29
240,2018-08-30
241,2018-08-31
242,2018-09-01
243,2018-09-02
244,2018-09-03
245,2018-09-04
246,2018-09-05
247,2018-09-06
248,2018-09-07
249,2018-09-08
250,2018-09-09
251,2018-09-10
252,2018-09-11
253,2018-09-12
254,2018-09-13
255,2018-09-14
256,2018-09-15
257,2018-09-16
258,2018-09-17
259,2018-09-18
260,2018-09-19
261,2018-09-20
262,2018-09-21
263,2018-09-22
264,2018-09-23
265,2018-09-24
266,2018-09-25
267,2018-09-26
268,2018-09-27
269,2018-09-28
270,2018-09-29
271,2018-09-30
272,2018-10-01
273,2018-10-02
274,2018-10-03
275,2018-10-04
276,2018-10-05
277,2018-10-06
278,2018-10-07
279,2018-10-08
280,2018-10-09
281,2018-10-10
282,2018-10-11
283,2018-10-12
284,2018-10-13
285,2018-10-14
286,2018-10-15
287,2018-10-16
288,2018-10-17
289,2018-10-18
290,2018-10-19
291,2018-10-20
292,2018-10-21
293,2018-10-22
294,2018-10-23
295,2018-10-24
296,2018-10-25
297,2018-10-26
298,2018-10-27
299,2018-10-28
300,2018-10-29
301,2018-10-30
302,2018-10-31
303,2018-11-01
304,2018-11-02
305,2018-11-03
306,2018-11-04
307,2018-11-05
308,2018-11-06
309,2018-11-07
310,2018-11-08
311,2018-11-09
312,2018-11-10
313,2018-11-11
314,2018-11-12
315,2018-11-13
316,2018-11-14
317,2018-11-15
318,2018-11-16
319,2018-11-17
320,2018-11-18
321,2018-11-19
322,2018-11-20
323,2018-11-21
324,2018-11-22
325,2018-11-23
326,2018-11-24
327,2018-11-25
328,2018-11-26
329,2018-11-27
330,2018-11-28
331,2018-11-29
332,2018-11-30
333,2018-12-01
334,2018-12-02
335,2018-12-03
336,2018-12-04
337,2018-12-05
338,2018-12-06
339,2018-12-07
340,2018-12-08
341,2018-12-09
342,2018-12-10
343,2018-12-11
344,2018-12-12
345,2018-12-13
346,2018-12-14
347,2018-12-15
348,2018-12-16
349,2018-12-17
350,2018-12-18
351,2018-12-19
352,2018-12-20
353,2018-12-21
354,2018-12-22
355,2018-12-23
356,2018-12-24
357,2018-12-25
358,2018-12-26
359,2018-12-27
360,2018-12-28
361,2018-12-29
362,2018-12-30
363,2018-12-31
364,2019-01-01
365,2019-01-02
366,2019-01-03
367,2019-01-04
368,2019-01-05
369,2019-01-06
370,2019-01-07
371,2019-01-08
372,2019-01-09
373,2019-01-10
374,2019-01-11
375,2019-01-12
376,2019-01-13
377,2019-01-14
378,2019-01-15
379,2019-01-16
380,2019-01-17
381,2019-01-18
382,2019-01-19
383,2019-01-20
384,2019-01-21
385,2019-01-22
386,2019-01-23
387,2019-01-24
388,2019-01-25
389,2019-01-26
390,2019-01-27
391,2019-01-28
392,2019-01-29
393,2019-01-30
394,2019-01-31
395,2019-02-01
396,2019-02-02
397,2019-02-03
398,2019-02-04
399,2019-02-05
400,2019-02-06
401,2019-02-07
402,2019-02-08
403,2019-02-09
404,2019-02-10
405,2019-02-11
406,2019-02-12
407,2019-02-13
408,2019-02-14
409,2019-02-15
410,2019-02-16
411,2019-02-17
412,2019-02-18
413,2019-02-19
414,2019-02-20
415,2019-02-21
416,2019-02-22
417,2019-02-23
418,2019-02-24
419,2019-02-25
420,2019-02-26
421,2019-02-27
422,2019-02-28
423,2019-03-01
424,2019-03-02
425,2019-03-03
426,2019-03-04
427,2019-03-05
428,2019-03-06
429,2019-03-07
430,2019-03-08
431,2019-03-09
432,2019-03-10
433,2019-03-11
434,2019-03-12
435,2019-03-13
436,2019-03-14
437,2019-03-15
438,2019-03-16
439,2019-03-17
440,2019-03-18
441,2019-03-19
442,2019-03-20
443,2019-03-21
444,2019-03-22
445,2019-03-23
446,2019-03-24
447,2019-03-25
448,2019-03-26
449,2019-03-27
450,2019-03-28
451,2019-03-29
452,2019-03-30
453,2019-03-31
454,2019-04-01
455,2019-04-02
456,2019-04-03
457,2019-04-04
458,2019-04-05
459,2019-04-06
460,2019-04-07
461,2019-04-08
462,2019-04-09
463,2019-04-10
464,2019-04-11
465,2019-04-12
466,2019-04-13
467,2019-04-14
468,2019-04-15
469,2019-04-16
470,2019-04-17
471,2019-04-18
472,2019-04-19
473,2019-04-20
474,2019-04-21
475,2019-04-22
476,2019-04-23
477,2019-04-24
478,2019-04-25
479,2019-04-26
480,2019-04-27
481,2019-04-28
482,2019-04-29
483,2019-04-30
484,2019-05-01
485,2019-05-02
486,2019-05-03
487,2019-05-04
488,2019-05-05
489,2019-05-06
490,2019-05-07
491,2019-05-08
492,2019-05-09
493,2019-05-10
494,2019-05-11
495,2019-05-12
496,2019-05-13
497,2019-05-14
498,2019-05-15
499,2019-05-16
500,2019-05-17
501,2019-05-18
502,2019-05-19
503,2019-05-20
504,2019-05-21
505,2019-05-22
506,2019-05-23
507,2019-05-24
508,2019-05-25
509,2019-05-26
510,2019-05-27
511,2019-05-28
512,2019-05-29
513,2019-05-30
514,2019-05-31
515,2019-06-01
516,2019-06-02
517,2019-06-03
518,2019-06-04
519,2019-06-05
520,2019-06-06
521,2019-06-07
522,2019-06-08
523,2019-06-09
524,2019-06-10
525,2019-06-11
526,2019-06-12
527,2019-06-13
528,2019-06-14
529,2019-06-15
530,2019-06-16
531,2019-06-17
532,2019-06-18
533,2019-06-19
534,2019-06-20
535,2019-06-21
536,2019-06-22
537,2019-06-23
538,2019-06-24
539,2019-06-25
540,2019-06-26
541,2019-06-27
542,2019-06-28
543,2019-06-29
544,2019-06-30
545,2019-07-01
546,2019-07-02
547,2019-07-03
548,2019-07-04
549,2019-07-05
550,2019-07-06
551,2019-07-07
552,2019-07-08
553,2019-07-09
554,2019-07-10
555,2019-07-11
556,2019-07-12
557,2019-07-13
558,2019-07-14
559,2019-07-15
560,2019-07-16
561,2019-07-17
562,2019-07-18
563,2019-07-19
564,2019-07-20
565,2019-07-21
566,2019-07-22
567,2019-07-23
568,2019-07-24
569,2019-07-25
570,2019-07-26
571,2019-07-27
572,2019-07-28
573,2019-07-29
574,2019-07-30
575,2019-07-31
576,2019-08-01
577,2019-08-02
578,2019-08-03
579,2019-08-04
580,2019-08-05
581,2019-08-06
582,2019-08-07
583,2019-08-08
584,2019-08-09
585,2019-08-10
586,2019-08-11
587,2019-08-12
588,2019-08-13
589,2019-08-14
590,2019-08-15
591,2019-08-16
592,2019-08-17
593,2019-08-18
594,2019-08-19
595,2019-08-20
596,2019-08-21
597,2019-08-22
598,2019-08-23
599,2019-08-24
600,2019-08-25
601,2019-08-26
602,2019-08-27
603,2019-08-28
604,2019-08-29
605,2019-08-30
606,2019-08-31
607,2019-09-01
608,2019-09-02
609,2019-09-03
610,2019-09-04
611,2019-09-05
612,2019-09-06
613,2019-09-07
614,2019-09-08
615,2019-09-09
616,2019-09-10
617,2019-09-11
618,2019-09-12
619,2019-09-13
620,2019-09-14
621,2019-09-15
622,2019-09-16
623,2019-09-17
624,2019-09-18
625,2019-09-19
626,2019-09-20
627,2019-09-21
628,2019-09-22
629,2019-09-23
630,2019-09-24
631,2019-09-25
632,2019-09-26
633,2019-09-27
634,2019-09-28
635,2019-09-29
636,2019-09-30
637,2019-10-01
638,2019-10-02
639,2019-10-03
640,2019-10-04
641,2019-10-05
642,2019-10-06
643,2019-10-07
644,2019-10-08
645,2019-10-09
646,2019-10-10
647,2019-10-11
648,2019-10-12
649,2019-10-13
650,2019-10-14
651,2019-10-15
652,2019-10-16
653,2019-10-17
654,2019-10-18
655,2019-10-19
656,2019-10-20
657,2019-10-21
658,2019-10-22
659,2019-10-23
660,2019-10-24
661,2019-10-25
662,2019-10-26
663,2019-10-27
664,2019-10-28
665,2019-10-29
666,2019-10-30
667,2019-10-31
668,2019-11-01
669,2019-11-02
670,2019-11-03
671,2019-11-04
672,2019-11-05
673,2019-11-06
674,2019-11-07
675,2019-11-08
676,2019-11-09
677,2019-11-10
678,2019-11-11
679,2019-11-12
680,2019-11-13
681,2019-11-14
682,2019-11-15
683,2019-11-16
684,2019-11-17
685,2019-11-18
686,2019-11-19
687,2019-11-20
688,2019-11-21
689,2019-11-22
690,2019-11-23
691,2019-11-24
692,2019-11-25
693,2019-11-26
694,2019-11-27
695,2019-11-28
696,2019-11-29
697,2019-11-30
698,2019-12-01
699,2019-12-02
700,2019-12-03
701,2019-12-04
702,2019-12-05
703,2019-12-06
704,2019-12-07
705,2019-12-08
706,2019-12-09
707,2019-12-10
708,2019-12-11
709,2019-12-12
710,2019-12-13
711,2019-12-14
712,2019-12-15
713,2019-12-16
714,2019-12-17
715,2019-12-18
716,2019-12-19
717,2019-12-20
718,2019-12-21
719,2019-12-22
720,2019-12-23
721,2019-12-24
722,2019-12-25
723,2019-12-26
724,2019-12-27
725,2019-12-28
726,2019-12-29
727,2019-12-30
728,2019-12-31
729,2020-01-01
730,2020-01-02
731,2020-01-03
732,2020-01-04
733,2020-01-05
734,2020-01-06
735,2020-01-07
736,2020-01-08
737,2020-01-09
738,2020-01-10
739,2020-01-11
740,2020-01-12
741,2020-01-13
742,2020-01-14
743,2020-01-15
744,2020-01-16
745,2020-01-17
746,2020-01-18
747,2020-01-19
748,2020-01-20
749,2020-01-21
750,2020-01-22
751,2020-01-23
752,2020-01-24
753,2020-01-25
754,2020-01-26
755,2020-01-27
756,2020-01-28
757,2020-01-29
758,2020-01-30
759,2020-01-31
760,2020-02-01
761,2020-02-02
762,2020-02-03
763,2020-02-04
764,2020-02-05
765,2020-02-06
766,2020-02-07
767,2020-02-08
768,2020-02-09
769,2020-02-10
770,2020-02-11
771,2020-02-12
772,2020-02-13
773,2020-02-14
774,2020-02-15
775,2020-02-16
776,2020-02-17
777,2020-02-18
778,2020-02-19
779,2020-02-20
780,2020-02-21
781,2020-02-22
782,2020-02-23
783,2020-02-24
784,2020-02-25
785,2020-02-26
786,2020-02-27
787,2020-02-28
788,2020-02-29
789,2020-03-01
790,2020-03-02
791,2020-03-03
792,2020-03-04
793,2020-03-05
794,2020-03-06
795,2020-03-07
796,2020-03-08
797,2020-03-09
798,2020-03-10
799,2020-03-11
800,2020-03-12
801,2020-03-13
802,2020-03-14
803,2020-03-15
804,2020-03-16
805,2020-03-17
